school_number,school_name,wida_student_group,wida_exit_denom,wida_n_exit,wida_pct_exit,wida_growth_standard_denom,wida_n_met_growth_standard,wida_pct_met_growth_standard,wida_literacy_avg,wida_comp_avg,tvaas_overall_comp,tvaas_lit_comp,tvaas_num_comp,tvaas_litandnum_comp,tvaas_sci_comp,tvaas_ss_comp,merge_step1,letter_grade,merge_step2,act_validtests,act_part_rate,act_avg_eng,act_avg_math,act_avg_reading,act_avg_sci,act_avg_comp,num_scoring_21orhigher,pct_scoring_21orhigher,num_scoring_below19,pct_scoring_below19,merge_step3,hs_grad_cohort_state,hs_grad_count_state,hs_grad_rate_state,hs_grad_cohort_federal,hs_grad_count_federal,hs_grad_rate_federal,merge_step4,school_type,short_address,city,zip,metro_dist,schbrd_dist,schbrd_mbr,long,lat,cluster_geo,cluster_name,geometry,within_1mile_park,within_1mile_library
358,Hunters Lane High,All Students,372.0,**,**,292.0,39,13.4,2.6,2.5,3.0,5.0,3.0,4.0,3.0,1.0,both,F,both,289.0,99.0,13.1,14.8,14.3,15.4,14.5,19,6.6,254,87.9,both,347.0,298,85.9,347.0,297,85.6,both,hs,1150 Hunters Ln,Nashville,37207,3,3,Zach Young,-86.752154,36.279392,Hunters Lane,Hunters Lane,POINT (-9657205.608499652 4339133.69512552),no,no
374,Lawson High,All Students,170.0,12,7.1,135.0,35,25.9,3,3,3.0,5.0,1.0,3.0,4.0,2.0,both,C,both,232.0,100.0,17.2,16.9,19.0,17.9,17.9,68,29.3,138,59.5,both,257.0,239,93,257.0,237,92.2,both,hs,8001 Hwy 70 S,Nashville,37221,22,9,Abigail Tylor,-86.9772439932534,36.0775078830455,Lawson,Lawson,POINT (-9682262.51193128 4311291.584910041),no,no
395,John Overton High,All Students,605.0,36,6,426.0,107,25.1,2.8,2.7,1.0,5.0,1.0,2.0,1.0,3.0,both,D,both,423.0,100.0,15.5,16.3,17.3,17.2,16.7,85,20.1,301,71.2,both,522.0,426,81.6,522.0,419,80.3,both,hs,4820 Franklin Rd,Nashville,37220,25,2,Rachel Anne Elrod,-86.770923,36.079994,Overton,Overton,POINT (-9659294.96402235 4311634.013043172),no,no
437,Early College High School,All Students,1.0,*,*,1.0,*,*,*,*,5.0,5.0,5.0,5.0,3.0,,both,A,both,37.0,100.0,24.2,20.5,24.5,22.6,23.1,**,**,**,**,both,37.0,**,**,37.0,**,**,both,hs,120 White Bridge Rd,Nashville,37209,24,9,Abigail Tylor,-86.857599,36.136033,Lawson,Lawson,POINT (-9668943.692206345 4319355.4832494715),no,no
445,Maplewood High,All Students,197.0,**,**,154.0,24,15.6,2.5,2.4,2.0,3.0,3.0,3.0,3.0,1.0,both,F,both,140.0,98.0,12.2,14.3,13.9,15.2,14.0,**,**,**,**,both,199.0,144,72.4,199.0,143,71.9,both,hs,401 Walton Ln,Nashville,37216,5,1,Robert Taylor,-86.750472,36.232819,Maplewood,Maplewood,POINT (-9657018.369116137 4332704.37802417),no,no
456,Martin Luther King Jr School,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,3.0,right_only,A,both,242.0,100.0,26.8,25.9,27.4,26.0,26.7,**,**,**,**,both,244.0,**,**,244.0,241,98.8,both,hs,613 17th Ave N,Nashville,37203,19,5,Tekendrea Fayne,-86.800309,36.161653,Pearl-Cohn,Pearl-Cohn,POINT (-9662566.198578801 4322887.433958235),no,no
470,McGavock High,All Students,292.0,**,**,233.0,37,15.9,2.7,2.7,1.0,3.0,1.0,1.0,1.0,2.0,both,F,both,356.0,98.0,15.3,15.6,16.7,17.3,16.3,50,14,261,73.3,both,472.0,370,78.4,472.0,357,75.6,both,hs,3150 McGavock Pike,Nashville,37214,15,4,Berthena Nabaa-Mckinney,-86.677854,36.18545,McGavock,McGavock,POINT (-9648934.570333712 4326169.101616701),no,no
512,Nashville School Of The Arts,All Students,4.0,*,*,3.0,*,*,*,*,,,,,,,left_only,A,both,142.0,100.0,21.0,17.8,22.4,20.2,20.5,69,48.6,51,35.9,both,147.0,142,96.6,147.0,141,95.9,both,hs,1250 Foster Ave,Nashville,37210,16,5,Tekendrea Fayne,-86.738731,36.132342,Glencliff,Glencliff,POINT (-9655711.366974734 4318846.7402838925),no,no
555,Pearl-Cohn High,All Students,27.0,4,14.8,21.0,5,23.8,3,2.9,1.0,4.0,1.0,1.0,4.0,1.0,both,F,both,132.0,99.0,12.7,14.6,14.3,15.6,14.5,**,**,**,**,both,157.0,136,86.6,157.0,136,86.6,both,hs,904 26th Ave N,Nashville,37208,21,5,Tekendrea Fayne,-86.815458,36.164416,Pearl-Cohn,Pearl-Cohn,POINT (-9664252.577544829 4323268.407651665),no,no
620,Stratford STEM Magnet School,All Students,99.0,8,8.1,85.0,25,29.4,2.8,2.7,1.0,1.0,4.0,3.0,3.0,1.0,both,F,both,118.0,99.0,13.2,14.5,15.4,16.1,15.0,11,9.3,96,81.4,both,160.0,126,78.8,160.0,125,78.1,both,hs,1800 Stratford Ave,Nashville,37216,7,3,Zach Young,-86.718072,36.197597,Stratford,Stratford,POINT (-9653411.617614435 4327844.5885733925),no,no
704,Whites Creek High,All Students,50.0,3,6,40.0,16,40,3.1,3,5.0,5.0,3.0,5.0,5.0,3.0,both,F,both,117.0,98.0,12.7,14.7,14.9,15.6,14.6,**,**,**,**,both,151.0,123,81.5,151.0,123,81.5,both,hs,7277 Old Hickory Blvd,Whites Creek,37189,1,1,Robert Taylor,-86.818161,36.27661,Whites Creek,Whites Creek,POINT (-9664553.474128442 4338749.537463363),no,no
